OBJECTID,RouteNumber,Street
1,10-11,Clements
12,10-11,Sunset
31,10-11,Main
54,10-11,
58,10-11,Maple
61,10-11,Westmorland 
70,11S,
71,11S,
72,11S,
74,11S,King
84,10-11,Waterloo
95,10-11,Waterloo
98,10-11,
100,10-11,Biggs
102,10-11,Forest Hill
116,10-11,Beaverbrook
120,10-11,
121,10-11,Albert
123,10-11,Windsor
128,10-11,Montgomery
131,10-11,Regent
144,11S,
