OBJECTID,INDEXKEY,STREET_NAME,ODD_LOW,ODD_HIGH,EVEN_LOW,EVEN_HIGH,LANES,CLASS,SPEED,Truck_Route,Name,Weight_res,Prefix,key2008,OneWay,Owner,Year_,Type,Inside_Outside_City,Total_Lane_Length,Prov_HGY,Designation,CityResponsibility,BlockPartyPermitted,RightofWayOwner,Priority,LEFT_LOW,LEFT_HIGH,RIGHT_LOW,RIGHT_HIGH,OK,Shape__Length
3318,S024804B,Prospect Street,,,,,3,Major Arterial,50 Km\hr,Not a Truck Route,Prospect,No Restrictions,Rue,S024804,No,DOT,1973,Through Street,,910.2753,,Designated,,No,Yes,,,,,,Y,19.1021893603518
3319,OnRamp,,,,,,1,Residential,50 Km\hr,Not a Truck Route,,No Restrictions,,OnRamp,No,DOT,1997,Through Street,,735.0577,,By Pass,,,,,,,,,,134.244227766423
3320,S003101,Blake Court ,5,29,2,20,2,Residential,50 Km\hr,Not a Truck Route,Blake,No Restrictions,Cour,,No,City,2018,Cul-de-sac,,,,,,,,,2,20,5,29,,99.9241356854073
3321,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3322,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3323,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3324,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3325,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3329,OnRamp,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,FT,,,,,,,,,,,,,,,,,169.655140151956
3334,,,,,,,,,50 Km\hr,Not a Truck Route,,No Restrictions,,,,,,,,,,,,,,,,,,,,
3337,,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,,,,,,,,,,,,,,,,,,197.172834442281
3340,,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,,,,,,,,,,,,,,,,,,119.220409839572
3342,OnRamp,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,FT,DIT,2018,Through Street,,,,,,,,,,,,,,341.98906847391
1,S030402,Paul Street,77,271,90,280,2,Residential,50 Km\hr,Not a Truck Route,Paul,Local,Rue,S030402,No,Private,1982,Cul-de-sac,,598.2339,,,,,,,77,271,90,280,,299.116958299224
2,S030401,Paul Street,17,67,30,70,2,Residential,50 Km\hr,Not a Truck Route,Paul,Local,Rue,S030401,No,Private,1982,Through Street,,238.4066,,,,,,,17,67,30,70,,119.203311727972
3,S083702,Fraser Avenue,105,131,110,132,2,Residential,50 Km\hr,Not a Truck Route,Fraser,Local,Avenue,S083702,No,City,1979,Cul-de-sac,,540.9749,,,,Yes,,,105,131,110,132,,270.487418694054
4,S087004,MacDonald Avenue,301,301,,,2,Residential,50 Km\hr,Not a Truck Route,MacDonald,Local,Avenue,S087004,No,City,1976,Through Street,,91.86742,,,,Yes,,,301,301,,,,45.9313427572802
5,S088101,Pugh Street,,,100,100,2,Residential,50 Km\hr,Not a Truck Route,Pugh ,Local,Rue,S088101,No,City,1979,Through Street,,186.6994,,,,,,,100,101,,,,93.3496950189122
6,S088102,Pugh Street,,,200,200,2,Residential,50 Km\hr,Not a Truck Route,Pugh ,Local,Rue,S088102,No,City,1979,Through Street,,176.1024,,,,Yes,,,200,200,,,,88.0512186671065
7,S088103,Pugh Street,,,204,204,2,Residential,50 Km\hr,Not a Truck Route,Pugh ,Local,Rue,S088103,No,City,1979,Through Street,,160.1667,,,,Yes,,,204,204,,,,80.083375626549
8,S095801,Shute Street,,,,,2,Residential,50 Km\hr,Not a Truck Route,Shute ,Local,Rue,S095801,No,City,1961,Through Street,,111.8438,,,,No,,,,,,,,55.9218923668497
9,S081002,Brookside Drive,101,103,118,118,2,Major Collector,50 Km\hr,Not a Truck Route,Brookside,Local,Promenade,S081002,No,City,1976,Through Street,,122.2222,,,,No,Yes,1,101,103,118,118,Y,61.1111217618524
10,S081006,Brookside Drive,195,195,202,202,2,Major Collector,50 Km\hr,Not a Truck Route,Brookside,Local,Promenade,S081006,No,City,1977,Through Street,,163.6552,,,,No,Yes,1,195,195,202,202,Y,81.8275989502577
11,S081005,Brookside Drive,,,174,198,2,Major Collector,50 Km\hr,Not a Truck Route,Brookside,Local,Promenade,S081005,No,City,1976,Through Street,,288.4631,,,,No,Yes,1,,,174,198,Y,144.229329872112
12,S081007A,Brookside Drive,217,229,204,204,2,Major Collector,50 Km\hr,Not a Truck Route,Brookside,Local,Promenade,S081007,No,City,1973,Through Street,,100.5976,,,,No,Yes,1,217,229,204,204,Y,50.2988200905262
13,S081008,Brookside Drive,231,241,218,218,2,Major Collector,50 Km\hr,Not a Truck Route,Brookside,60% - City Bylaw,Promenade,S081008,No,City,1977,Through Street,,165.2735,,,,No,Yes,1,231,241,218,218,Y,82.6367299308514
14,S081812,Cherry Avenue,327,329,336,342,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081812,No,City,1979,Through Street,,164.6877,,,,No,,,327,329,336,342,,82.3438535207628
15,S081811,Cherry Avenue,323,325,330,334,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081811,No,City,1979,Through Street,,161.4662,,,,No,,,323,325,330,334,,80.7330833642991
16,S082204,Clarence Avenue,115,121,120,120,2,Residential,50 Km\hr,Not a Truck Route,Clarence,Local,Avenue,S082204,No,City,1980,Through Street,,183.6681,,,,Yes,,,115,121,120,120,,91.8340350851576
17,S082203,Clarence Avenue,111,113,114,114,2,Residential,50 Km\hr,Not a Truck Route,Clarence,Local,Avenue,S082203,No,City,1980,Through Street,,184.0958,,,,Yes,,,111,113,114,114,,92.0478967512534
19,S089401,Vineland Street,81,99,82,98,2,Residential,50 Km\hr,Not a Truck Route,Vineland,Local,Rue,S089401,No,City,1961,Through Street,,533.8592,,,,,,,81,99,82,98,,266.929594002436
20,S087501,Oakland Avenue,81,101,80,102,2,Residential,50 Km\hr,Not a Truck Route,Oakland,Local,Avenue,S087501,No,City,1981,Through Street,,533.3126,,,,Yes,,,81,101,80,102,,266.656322818981
21,S081810,Cherry Avenue,319,321,322,328,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081810,No,City,1979,Through Street,,166.794,,,,No,,,319,321,322,328,,83.397017332756
22,S087103,MacFarlane Street,209,213,212,222,2,Residential,50 Km\hr,Not a Truck Route,MacFarlane,Local,Rue,S087103,No,City,1979,Through Street,,304.8947,,,,No,,,209,213,212,222,,152.423924001681
23,S083701,Fraser Avenue,99,103,100,108,2,Residential,50 Km\hr,Not a Truck Route,Fraser,Local,Avenue,S083701,No,City,1979,Through Street,,282.6496,,,,Yes,,,99,103,100,108,,141.293237227035
24,S081809,Cherry Avenue,317,317,322,,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081809,No,City,1979,Through Street,,85.46719,,,,No,,,317,317,322,,,42.7335934485217
25,S081808,Cherry Avenue,315,315,316,316,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081808,No,City,1979,Through Street,,87.75906,,,,No,,,315,315,316,316,,43.8795314743008
26,S081807,Cherry Avenue,311,311,314,314,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081807,No,City,1979,Through Street,,81.4554,,,,No,,,311,311,314,314,,40.727698199034
27,S081806,Cherry Avenue,309,309,308,308,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081806,No,City,1979,Through Street,,100.8527,,,,No,,,309,309,308,308,,50.4169725061496
28,S081805,Cherry Avenue,303,305,302,306,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081805,No,City,1979,Through Street,,200.307,,,,No,,,303,305,302,306,,100.153516193018
29,S083807,Fulton Avenue,313,319,302,304,2,Minor Collector,50 Km\hr,Not a Truck Route,Fulton,Local,Avenue,S083807,No,City,1975,Through Street,,161.7825,,,,No,Yes,2,313,319,302,304,,80.8912262097123
30,S083806,Fulton Avenue,303,311,300,300,2,Minor Collector,50 Km\hr,Not a Truck Route,Fulton,Local,Avenue,S083806,No,City,1975,Through Street,,164.4803,,,,No,Yes,2,303,311,300,300,,82.2401253115743
31,S083805,Fulton Avenue,299,301,228,228,2,Minor Collector,50 Km\hr,Not a Truck Route,Fulton,Local,Avenue,S083805,No,City,1975,Through Street,,100.79,,,,No,Yes,2,299,301,228,228,,50.3949801349285
32,S084401,Hickory Avenue,101,101,100,100,2,Residential,50 Km\hr,Not a Truck Route,Hickory,Local,Avenue,S084401,No,City,1979,Through Street,,205.7327,,,,Yes,,,101,101,100,100,,102.866334983734
33,S083804,Fulton Avenue,201,229,202,226,2,Minor Collector,50 Km\hr,Not a Truck Route,Fulton,Local,Avenue,S083804,No,City,1975,Through Street,,662.424,,,,No,Yes,2,201,229,202,226,,331.211977299286
34,S081702,Cedar Avenue,201,211,200,214,2,Residential,50 Km\hr,Not a Truck Route,Cedar,Local,Avenue,S081702,No,City,1977,Through Street,,367.5731,,,,Yes,,,201,211,200,214,,183.786540916645
35,S084601,Hilltop Drive,101,105,,,2,Residential,50 Km\hr,Not a Truck Route,Hilltop,Local,Promenade,S084601,No,City,1977,Through Street,,187.9578,,,,Yes,,,101,105,,,,93.9788894131961
36,S089202,Teak Drive,107,111,106,112,2,Residential,50 Km\hr,Not a Truck Route,Teak,Local,Promenade,S089202,No,City,1977,Through Street,,231.4075,,,,Yes,,,107,111,106,112,,115.691066598836
37,S089201,Teak Drive,101,103,102,104,2,Residential,50 Km\hr,Not a Truck Route,Teak,Local,Promenade,S089201,No,City,1977,Through Street,,163.1023,,,,,,,101,103,102,104,,81.5511496990385
38,S085602,Longwood Drive,127,129,128,132,2,Residential,50 Km\hr,Not a Truck Route,Longwood ,Local,Promenade,S085602,No,City,1963,Through Street,,146.8831,,,,Yes,,,128,132,127,129,,73.4415544589611
39,S081803,Cherry Avenue,205,205,204,204,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081803,No,City,1973,Through Street,,46.31147,,,,No,,,205,205,204,204,,23.1557359547416
41,S081802,Cherry Avenue,201,201,200,202,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081802,No,City,1979,Through Street,,162.2789,,,,No,,,201,201,200,202,,81.139425995076
42,S081801,Cherry Avenue,101,107,102,110,2,Residential,50 Km\hr,Not a Truck Route,Cherry,Local,Avenue,S081801,No,City,1981,Through Street,,282.95,,,,Yes,,,101,107,102,110,,141.463566897245
43,S085601,Longwood Drive,101,125,125,126,2,Residential,50 Km\hr,Not a Truck Route,Longwood,Local,Promenade,S085601,No,City,1963,Through Street,,680.6776,,,,Yes,,,102,126,101,125,,340.310842362989
44,S085603,Longwood Drive,,,134,146,2,Residential,50 Km\hr,Not a Truck Route,Longwood ,Local,Promenade,S085603,No,City,1963,Through Street,,360.4562,,,,Yes,,,134,146,,,,180.221085332028
45,S085402,Lilac Crescent,29,35,32,34,2,Residential,50 Km\hr,Not a Truck Route,Lilac,Local,Croissant,S085402,No,City,1976,Through Street,,161.3466,,,,Yes,,,29,35,32,34,,80.6733104601466
46,S085402A,Lilac Crescent,37,41,,,2,Residential,50 Km\hr,Not a Truck Route,Lilac,Local,Croissant,S085402A,No,City,1973,Dead End,,89.46997,,,,Yes,,,37,41,,,,44.7349856774198
47,S084602,Hilltop Drive,107,113,,,2,Residential,50 Km\hr,Not a Truck Route,Hilltop,Local,Promenade,S084602,No,City,1977,Through Street,,172.6673,,,,Yes,,,107,113,,,,86.3336421874058
48,S087002,MacDonald Avenue,205,209,,,2,Residential,50 Km\hr,Not a Truck Route,MacDonald,Local,Avenue,S087002,No,City,1976,Through Street,,194.4248,,,,Yes,,,205,209,,,,97.2124024376108
49,S087001,MacDonald Avenue,201,203,200,202,2,Residential,50 Km\hr,Not a Truck Route,MacDonald,Local,Avenue,S087001,No,City,1976,Through Street,,169.4153,,,,Yes,,,201,203,200,202,,84.7076231477542
50,S086005,Maple Street,,,318,320,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086005,No,City,1973,Through Street,,201.3491,,,,No,Yes,1,318,320,,,Y,100.674550798981
51,S086004,Maple Street,305,315,306,316,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086004,No,City,1966,Through Street,,315.7846,,,,No,Yes,1,306,316,305,315,Y,157.89230225369
52,S086003,Maple Street,301,303,300,302,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple ,Local,Rue,S086003,No,City,1966,Through Street,,163.0923,,,,No,Yes,1,300,302,301,303,Y,81.5461407205288
53,S086002,Maple Street,,,202,202,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086002,No,City,1973,Through Street,,176.9209,,,,No,Yes,1,202,202,,,Y,88.4604688808236
54,S086001,Maple Street,,,100,102,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086001,No,City,1973,Through Street,,192.9645,,,,No,Yes,1,100,102,,,Y,96.4822652749356
55,S083803,Fulton Avenue,117,123,114,120,2,Minor Collector,50 Km\hr,Not a Truck Route,Fulton,Local,Avenue,S083803,No,City,1954,Through Street,,179.101,,,,No,Yes,2,117,123,114,120,,89.5505235371137
56,S083802,Fulton Avenue,101,113,100,112,2,Minor Collector,50 Km\hr,Not a Truck Route,Fulton,Local,Avenue,S083802,No,City,1954,Through Street,,354.7479,,,,No,Yes,2,101,113,100,112,,177.373926974316
57,S081701,Cedar Avenue,101,119,104,120,2,Residential,50 Km\hr,Not a Truck Route,Cedar ,Local,Avenue,S081701,No,City,1979,Through Street,,538.0929,,,,Yes,,,101,119,104,120,,269.046445764955
58,S089902,Willow Avenue,201,211,202,212,2,Residential,50 Km\hr,Not a Truck Route,Willow,Local,Avenue,S089902,No,City,1977,Through Street,,365.5905,,,,Yes,,,201,211,202,212,,182.795255527981
59,S089901,Willow Avenue,99,119,100,120,2,Residential,50 Km\hr,Not a Truck Route,Willow,Local,Avenue,S089901,No,City,1979,Through Street,,542.5059,,,,Yes,,,99,119,100,120,,271.252959091747
60,S086301,Moss Avenue,101,119,100,116,2,Residential,50 Km\hr,Not a Truck Route,Moss,Local,Avenue,S086301,No,City,1979,Through Street,,466.5658,,,,Yes,,,101,119,100,116,,233.282909124508
61,S087801,Park Street,111,111,100,112,2,Residential,50 Km\hr,Not a Truck Route,Park,Local,Rue,S087801,No,City,1976,Cul-de-sac,,378.3087,,,,Yes,,,111,111,100,112,,189.154373097009
62,S085607,Longwood Drive,267,267,256,268,2,Residential,50 Km\hr,Not a Truck Route,Longwood,Local,Promenade,S085607,No,City,1977,Through Street,,161.2622,,,,Yes,,,256,268,267,267,,80.6311148507476
63,S085606,Longwood Drive,239,249,242,250,2,Residential,50 Km\hr,Not a Truck Route,Longwood,Local,Promenade,S085606,No,City,1977,Through Street,,135.6131,,,,Yes,,,242,256,239,249,,67.8065383499076
64,S085605,Longwood Drive,233,233,222,228,2,Residential,50 Km\hr,Not a Truck Route,Longwood,Local,Promenade,S085605,No,City,1977,Through Street,,120.2199,,,,Yes,,,216,228,233,233,,60.1099428219147
65,S085604,Longwood Drive,199,207,204,216,2,Residential,50 Km\hr,Not a Truck Route,Longwood,Local,Promenade,S085604,No,City,1977,Through Street,,171.9338,,,,Yes,,,204,216,199,207,,85.9669045564385
66,S085201,Lawrence Crescent,3,11,4,26,2,Residential,50 Km\hr,Not a Truck Route,Lawrence,Local,Croissant,S085201,No,City,1976,Through Street,,426.5633,,,,Yes,,,3,11,4,26,,213.243442802765
67,S087702,Juniper Court,37,41,30,40,2,Residential,50 Km\hr,Not a Truck Route,Juniper,Local,Cour,S087702,No,City,1973,Cul-de-sac,,89.39329,,,,Yes,,,37,41,30,40,,44.6966431826098
68,S080805,Broad Street,581,583,578,582,2,Residential,50 Km\hr,Not a Truck Route,Broad,Local,Rue,S080805,No,City,1978,Through Street,,153.477,,,,Yes,,,578,562,581,583,,76.7385033434065
69,S080806,Broad Street,585,595,586,600,2,Residential,50 Km\hr,Not a Truck Route,Broad,Local,Rue,S080806,No,City,1978,Through Street,,359.2503,,,,Yes,,,586,600,585,595,,179.625140961882
70,S080807,Broad Street,603,603,602,606,2,Residential,50 Km\hr,Not a Truck Route,Broad,Local,Rue,S080807,No,City,1978,Through Street,,176.9198,,,,Yes,,,602,606,603,603,,88.4599177123574
71,S090203,Woodmount Drive,67,87,66,84,2,Residential,50 Km\hr,Not a Truck Route,Woodmount,Local,Promenade,S090203,No,City,1978,Through Street,,190.523,,,,Yes,,,67,87,66,84,,95.261494026574
72,S090204,Woodmount Drive,91,99,96,100,2,Residential,50 Km\hr,Not a Truck Route,Woodmount,Local,Promenade,S090204,No,City,1978,Through Street,,177.0103,,,,Yes,,,91,99,96,100,,88.5051519313613
73,S085802,Maddison Avenue,129,131,128,130,2,Residential,50 Km\hr,Not a Truck Route,Maddison,Local,Avenue,S085802,No,City,1976,Through Street,,167.7504,,,,Yes,,,129,131,128,130,,83.8752223129624
74,S090202,Woodmount Drive,35,53,42,60,2,Residential,50 Km\hr,Not a Truck Route,Woodmount,Local,Promenade,S090202,No,City,1978,Through Street,,216.8242,,,,,,,35,53,42,60,,108.412107160485
75,S090201,Woodmount Drive,9,31,12,30,2,Residential,50 Km\hr,Not a Truck Route,Woodmount,Local,Promenade,S090201,No,City,1978,Through Street,,261.1135,,,,Yes,,,9,31,12,30,,130.556751082396
76,S086202,Melvin Street,109,131,104,120,2,Residential,50 Km\hr,Not a Truck Route,Melvin,Local,Rue,S086202,No,City,1978,Through Street,,609.9271,,,,Yes,,,109,131,104,120,,304.94255801037
77,S086201,Melvin Street,101,105,102,102,2,Residential,50 Km\hr,Not a Truck Route,Melvin,Local,Rue,S086201,No,City,1978,Through Street,,162.1627,,,,Yes,,,101,105,102,102,,81.0813303415632
78,S083901,Gourley Court,1,13,,,2,Residential,50 Km\hr,Not a Truck Route,Gourley,Local,Cour,S083901,No,City,1978,Cul-de-sac,,92.42844,,,,Yes,,,1,13,,,,46.2142221193546
79,S087904,Preston Drive,119,119,126,130,2,Residential,50 Km\hr,Not a Truck Route,Preston,Local,Promenade,S087904,No,City,1973,Not a through street,,163.5037,,,,Yes,,,119,119,126,130,,81.7518298902147
80,S087903,Preston Drive,101,115,102,124,2,Residential,50 Km\hr,Not a Truck Route,Preston,Local,Promenade,S087903,No,City,1973,Through Street,,495.9738,,,,Yes,,,101,115,102,124,,247.963532945169
81,S087902,Preston Drive,155,177,156,168,2,Residential,50 Km\hr,Not a Truck Route,Preston,Local,Promenade,S087902,No,City,1979,Through Street,,493.4846,,,,Yes,,,155,177,156,168,,246.722843216657
82,S089503,Wallace Avenue,163,167,166,168,2,Residential,50 Km\hr,Not a Truck Route,Wallace,Local,Avenue,S089503,No,City,1976,Through Street,,173.218,,,,No,,2,163,167,166,168,,86.6089792628972
83,S086006,Maple Street,365,365,360,390,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086006,No,City,1976,Through Street,,193.5671,,,,No,Yes,1,360,390,365,365,Y,96.7835610515254
84,S086007,Maple Street,573,577,400,580,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086007,No,City,1976,Through Street,,209.0287,,,,No,Yes,1,400,580,573,577,Y,104.514353643557
85,S086008,Maple Street,579,585,582,582,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086008,No,City,1976,Through Street,,179.02,,,,No,Yes,1,582,582,579,585,Y,89.5099836022825
86,S086009,Maple Street,589,591,590,590,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086009,No,City,1976,Through Street,,172.6358,,,,No,Yes,1,590,590,589,591,Y,86.3178884766969
87,S086010,Maple Street,593,597,592,596,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,Local,Rue,S086010,No,City,1973,Through Street,,166.6293,,,,No,Yes,1,592,596,593,597,Y,83.3146741615062
88,S086011,Maple Street,599,601,598,602,2,Minor Collector,50 Km\hr,Not a Truck Route,Maple,No Restrictions,Rue,S086011,No,City,1976,Through Street,,104,,By Pass,Winter,No,Yes,1,598,602,599,601,Y,51.9999999986234
89,S082503,Douglas Avenue,181,213,178,222,2,Minor Collector,50 Km\hr,Not a Truck Route,Douglas,Local,Avenue,S082503,No,City,1977,Through Street,,725.2695,,,,No,,2,181,213,178,222,,362.634735181964
90,S022504,McKeen Street,205,235,200,238,2,Residential,50 Km\hr,Not a Truck Route,McKeen ,Local,Rue,S022504,No,City,1976,Through Street,,289.5352,,,,Yes,,,205,235,200,238,,144.767584060076
91,S085801,Maddison Avenue,105,125,102,126,2,Residential,50 Km\hr,Not a Truck Route,Maddison,Local,Avenue,S085801,No,City,1976,Through Street,,585.6275,,,,Yes,,,105,125,102,126,,292.79971657431
92,S081703,Cedar Avenue,213,219,216,218,2,Residential,50 Km\hr,Not a Truck Route,Cedar,Local,Avenue,S081703,No,City,1977,Through Street,,163.5484,,,,Yes,,,213,219,216,218,,81.7671614300232
93,S087003,MacDonald Avenue,,,,,2,Residential,50 Km\hr,Not a Truck Route,MacDonald,Local,Avenue,S087003,No,City,1976,Through Street,,154.4566,,,,Yes,,,,,,,,77.2183938947146
94,S022503,McKeen Street,169,189,154,192,2,Residential,50 Km\hr,Not a Truck Route,McKeen ,Local,Rue,S022503,No,City,1976,Through Street,,265.0623,,,,Yes,,,169,189,154,192,,132.520190467229
95,S025903,Saint Mary's Street,177,199,180,200,2,Major Arterial,50 Km\hr,Designated Truck Route,Saint Mary's,No Restrictions,Rue,S025903,No,City,1955,Through Street,,225.6871,,Designated,Year Round,No,Yes,1,177,199,180,200,Y,112.843528935281
96,S013904,Clark Street,,,,,2,Residential,50 Km\hr,Not a Truck Route,Clark,Local,Rue,S013904,No,City,1973,Dead End,,86.00995,,,,Yes,,,,,,,Y,43.004975332533
97,S013903,Clark Street,303,353,314,356,2,Residential,50 Km\hr,Not a Truck Route,Clark,Local,Rue,S013903,No,City,1970,Through Street,,359.6596,,,,Yes,,2,303,353,314,356,Y,179.8297904099
98,S019303,Irvine Street,741,757,742,756,2,Residential,50 Km\hr,Not a Truck Route,Irvine,Local,Rue,S019303,No,City,1967,Through Street,,386.5503,,,,No,,2,741,757,742,756,Y,193.27355596806
99,S019302,Irvine Street,713,739,720,738,2,Residential,50 Km\hr,Not a Truck Route,Irvine,Local,Rue,S019302,No,City,1967,Through Street,,594.7596,,,,No,,2,713,739,720,738,Y,297.379828514729
100,S019301,Irvine Street,709,711,,,2,Residential,50 Km\hr,Not a Truck Route,Irvine,Local,Rue,S019301,No,City,2008,Through Street,,186.2637,,,,No,,2,709,711,,,Y,93.1318755499637
101,S028901,Walker Street,5,45,10,50,2,Residential,50 Km\hr,Not a Truck Route,Walker,Local,Rue,S028901,No,City,1970,Through Street,,311.5912,,,,Yes,,,5,45,10,50,Y,155.795585710244
102,S019601,Kennedy Court,15,35,16,32,2,Residential,50 Km\hr,Not a Truck Route,Kennedy,Local,Cour,S019601,No,City,1966,Cul-de-sac,,147.948,,,,Yes,,,15,35,16,32,Y,73.9739929586693
103,S024101,Burse Court,15,31,18,34,2,Residential,50 Km\hr,Not a Truck Route,Burse,Local,Cour,S024101,No,City,1965,Cul-de-sac,,156.0293,,,,Yes,,,15,31,18,34,Y,78.0146573919195
104,S011201,Gulliver Drive,9,29,24,36,2,Residential,50 Km\hr,Not a Truck Route,Gulliver,Local,Promenade,S011201,No,City,1965,Through Street,,198.6366,,,,Yes,,,9,29,24,36,Y,99.318277334493
105,S011202,Gulliver Drive,59,75,46,76,2,Residential,50 Km\hr,Not a Truck Route,Gulliver,Local,Promenade,S011202,No,City,1966,Through Street,,199.3174,,,,Yes,,,59,75,46,76,Y,99.6587236097188
106,S023103,Noble Street,197,257,210,254,2,Residential,50 Km\hr,Not a Truck Route,Noble,Local,Rue,S023103,No,City,1964,Through Street,,334.6716,,,,No,,2,197,257,210,254,Y,167.335788225594
107,S023102,Noble Street,167,187,160,180,2,Residential,50 Km\hr,Not a Truck Route,Noble,Local,Rue,S023102,No,City,1964,Through Street,,168.8741,,,,No,,2,167,187,160,180,Y,84.4370461855255
108,S013203,Carney Street,261,287,,,2,Residential,50 Km\hr,Not a Truck Route,Carney,Local,Rue,S013203,No,City,1953,Through Street,,196.8423,,,,Yes,,,261,287,,,Y,98.4211733865938
109,S013202,Carney Street,219,251,,,2,Residential,50 Km\hr,Not a Truck Route,Carney,Local,Rue,S013202,No,City,1953,Through Street,,199.8643,,,,Yes,,,219,251,,,Y,99.9321520837047
110,S013201,Carney Street,193,209,,,2,Residential,50 Km\hr,Not a Truck Route,Carney,Local,Rue,S013201,No,City,1953,Through Street,,190.8696,,,,,,,193,209,,,Y,95.4347941933666
111,S032303,Weyman Street,77,109,74,104,2,Residential,50 Km\hr,Not a Truck Route,Weyman,Local,Rue,S032303,No,City,1976,Through Street,,300.0926,,,,Yes,,,77,109,74,104,Y,150.04135091901
112,S031101,Ashfield Street,19,65,14,62,2,Residential,50 Km\hr,Not a Truck Route,Ashfield,Local,Rue,S031101,No,City,1974,Through Street,,450.1101,,,,No,,2,19,65,14,62,Y,225.040818479683
113,S013901,Clark Street,117,175,100,176,2,Residential,50 Km\hr,Not a Truck Route,Clark,Local,Rue,S013901,No,City,1959,Through Street,,687.8246,,,,Yes,,,117,175,100,176,Y,343.899505011497
114,S012006,Cliffe Street,,,,,2,Major Arterial,50 Km\hr,Designated Truck Route,Cliffe,60% - City Bylaw,Rue,S012004A,No,City,1973,Through Street,,76.27782,,,,No,Yes,1,,,,,,38.1376134336858
115,S010801,Athlone Street,731,757,732,750,2,Residential,50 Km\hr,Not a Truck Route,Athlone,Local,Rue,S010801,No,City,1953,Through Street,,411.0974,,,,Yes,,,731,757,732,750,Y,205.548708261778
116,S014401,Coombes Street,731,765,732,762,2,Residential,50 Km\hr,Not a Truck Route,Coombes,Local,Rue,S014401,No,City,1953,Through Street,,515.1394,,,,Yes,,,731,765,732,762,Y,257.569698841338
117,S015003,Dobie Street,731,741,734,740,2,Residential,50 Km\hr,Not a Truck Route,Dobie,Local,Rue,S015003,No,City,1953,Through Street,,183.6111,,,,Yes,,,731,741,734,740,Y,91.8055587836113
118,S024201,Philip Street,649,667,648,668,2,Residential,50 Km\hr,Not a Truck Route,Philip,Local,Rue,S024201,No,City,1952,Dead End,,263.489,,,,Yes,,,649,667,648,668,Y,131.744470386282
119,S015701,Elizabeth Street,649,667,,,2,Residential,50 Km\hr,Not a Truck Route,Elizabeth,Local,Rue,S015701,No,City,1955,Dead End,,236.7077,,,,Yes,,,649,667,,,Y,118.342978362997
120,S026102,School Street,239,239,,,2,Residential,50 Km\hr,Not a Truck Route,School,Local,Rue,S026102,No,City,1952,Through Street,,174.6723,,,,Yes,,,239,239,,,Y,87.3361434382389
121,S026103,School Street,,,,,2,Residential,50 Km\hr,Not a Truck Route,School,Local,Rue,S026103,No,City,1952,Through Street,,175.0559,,,,Yes,,,,,,,Y,87.5279373294572
