X,Y,OBJECTID,Location,Type,Date,Info,NoCrossings,CrSide,Number,CivicNo,Street,NumberCrossing,Sharing,History
-66.655873479586717,45.961990103879792,189,Saunders and Odell,PEDCROSS,2010,,,,3,,,1,,
-66.633372619625035,45.927651295857686,190,Canterbury at Kimble,PEDCROSS,2011,,,,3,,,1,,
-66.63561443368674,45.928539908995226,191,Canterbury at London,PEDCROSS,2011,,,,3,,,1,,
-66.655069985780457,45.962736319677326,193,Odell and Charlotte,PGCROSS,,,1,S,2,,,1,,
-66.650016459463174,45.962090230277219,194,Northumberland @ George,PEDCROSS,,,1,N,4,,,1,,
-66.643775748708791,45.955578403804616,195,Regent @ Aberdeen,PEDCROSS,,,1,W,2,,,1,,
-66.652634975301936,45.955659965276034,196,Westmorland @ Dundonald,Crosswalk,,,,,2,,,1,,
-66.654813412823145,45.956583301692348,197,Dundonald @ Northumberland,Crosswalk,,,2,"N,S",2,,,2,,
-66.655614265570065,45.955656404743564,198,Northumberland @ Connaught,Crosswalk,,,1,N,2,,,1,,
-66.653479533705308,45.954646673746709,199,Connaught @ Central,,,,,,3,,,,,
-66.655042695333691,45.955251599714835,200,Connaught @ Albert,,,,,,3,,,,,
-66.659107514388083,45.955195994700418,201,Smythe @ Tamarack/Edinburgh,,,,,,4,,,,,
-66.659633030042215,45.954570359138692,202,Smythe @ Shamrock,,,,,,3,,,,,
-66.660780839048599,45.953161824650053,203,Smythe @ Hawthorne,,,,,,3,,,,,
-66.661494898761362,45.95225024476467,204,Smythe @ Lynhaven,,,,,,3,,,,,
-66.661694029977454,45.952071418913327,205,Smythe @ Spruce,,,,,,3,,,,,
-66.66223978575843,45.951385036723863,206,Smythe @ Eglinton,,,,,,3,,,,,
-66.662801149069196,45.950787901925267,207,Smythe @ Heather,,,,,,3,,,,,
-66.661224865316626,45.950936552077046,208,Eglinton @ Oxford,,,,,,3,,,,,
-66.664550692117999,45.948653581525704,209,Smythe @ Beechwood (N),,,,,,3,,,,,
-66.664994351774155,45.948085172738715,210,Smythe @ Massey,,,,,,3,,,,,
-66.663749056076625,45.94761561887357,211,Massey @ Bessborough,,,,,,3,,,,,
-66.666070601205533,45.946801668110439,212,Smythe @ Beechwood (S),,,,,,3,,,,,
-66.666402057297944,45.946379821756828,213,Smythe @ Willingdon,,,,,,3,,,,,
-66.670538358758549,45.941495900036834,214,Smythe @ Route 8,,,,,,3,,,,,
-66.67344439596755,45.946563318323122,215,Parkside @ Greenfields,,,,,,3,,,,,
-66.671317130383244,45.945608361373914,216,Parkside @ Meadowgreen,,,,,,3,,,,,
-66.670456819703389,45.946044108915622,217,Parkside @ Mayland,,,,,,3,,,,,
-66.668127844035695,45.946065428773366,218,Parkside @ Parklyn,,,,,,3,,,,,
-66.674025722728217,45.941515613573017,219,Bishop @ Future Street,,,,,,3,,,,,
-66.665347737690851,45.937862475470908,220,Route 8 @ Arnold ,,,,,,3,,,,,
-66.661866676553331,45.931749403114139,221,Knowledge Park @ Trinity,,,,,,3,,,,,
-66.660397785435549,45.931096826325117,222,Knowledge Park @ RioCan/Crowther,TRAFFIC,2013,,1,,4,,Knowledge Park,,,2013
-66.664041543941849,45.928853887291197,223,Wayne Squibb @ Trinity,,,,,,3,,,,,
-66.663050930199574,45.928414904355321,224,Wayne Squibb @ RioCan,,,,,,3,1,RioCan,,,
-66.661449420588198,45.9466047814118,225,Massey @ Stanley,,,,,,3,,,,,
-66.660766153038011,45.946343886365526,226,Massey @ Lorned,,,,,,3,,,,,
-66.66017092666408,45.947023189344861,227,Lorne @ Bessborough,,,,,,3,,,,,
-66.659525009397441,45.947881103297561,228,Montgomery @ Lorne,,,,,,3,,,,,
-66.657711136651798,45.946062495009514,229,York @ Pederson,,,,,,3,,,,,
-66.658323888810628,45.945537917255805,230,York @ Mansfield,,,,,,3,,,,,
-66.659022897709804,45.945346496386321,231,York @ Massey,,,,,,3,,,,,
-66.659755991361749,45.945143120655153,232,York @ Dufferin,,,,,,3,,,,,
-66.660709851564008,45.944582342303057,233,York @ Lisgar,,,,,,3,1039,York,,,
-66.660270615083391,45.946094625547005,234,Massey @ Willingdon,,,,,,3,,,,,
-66.665337823659371,45.945968344211757,235,Willingdon @ Stanley,,,,,,3,,,,,
-66.658294868994219,45.947323387334571,236,Montgomery @ Michener,,,,,,3,,,,,
-66.661528230736664,45.950223140066903,237,Oxford @ Oxford Crt,,,,,,3,,,,,
-66.659017734941969,45.949488699897458,238,Oxford @ Eglington,,,,,,3,,,,,
-66.656901178878144,45.949253581700773,239,Oxford @ Simcoe,,,,,,3,,,,,
-66.66009535531488,45.950391806050582,240,Eglington @ Studholm,,,,,,3,,,,,
-66.658885394420125,45.950941034184943,241,Lynhaven @ Studholm,,,,,,3,,,,,
-66.659261658451101,45.95123807965124,242,Lynhaven @ Elgin,,,,,,3,,,,,
-66.65798603092351,45.952703909356202,243,Kings College @ Elgin,,,,,,3,,,,,
-66.656019916996883,45.951397308826145,244,King College @ Pembroke (W),,,,,,3,,,,,
-66.654909480874693,45.950946518121697,245,Kings College @ Pembroke (E),,,,,,3,,,,,
-66.657614338630111,45.954013739885475,246,Edinburgh @ Wright (W),,,,,,3,,,,,
-66.654194848600198,45.951685466317805,247,Edinburgh @ Wright (W),,,,,,3,,,,,
-66.654091472193684,45.95745849037619,248,Northumberland @ Victoria,,,,,,4,,,,,
-66.653291907038337,45.958376090246581,249,Northumberland @ Argyle,,,,,,4,,,,,
