OBJECTID,RouteNumber,Street
1,14-15,
2,14-15,
4,15,Hedgeview
8,15,
9,14-15,
10,15,
11,15,Patience
12,15,Rainsford
13,14-15,
16,15,
17,14-15,
18,14-15,
20,15,
21,15,
22,14-15,
23,14-15,
24,14-15,
25,14-15,
26,14-15,
27,14-15,
28,14-15,
30,15,
33,14-15,
34,15,
